nombre,x,y
Ciudad 1,41,49
Ciudad 2,35,17
Ciudad 3,55,45
Ciudad 4,55,20
Ciudad 5,15,30
Ciudad 6,25,30
Ciudad 7,20,50
Ciudad 8,10,43
Ciudad 9,55,60
Ciudad 10,30,60
Ciudad 11,20,65
Ciudad 12,50,35
Ciudad 13,30,25
Ciudad 14,15,10
Ciudad 15,30,5
Ciudad 16,10,20
Ciudad 17,5,30
Ciudad 18,20,40
Ciudad 19,15,60
Ciudad 20,45,65
Ciudad 21,45,20
Ciudad 22,45,10
Ciudad 23,55,5
Ciudad 24,65,35
Ciudad 25,65,20
Ciudad 26,45,30
Ciudad 27,35,40
Ciudad 28,41,37
Ciudad 29,64,42
Ciudad 30,40,60
Ciudad 31,31,52
Ciudad 32,35,69
Ciudad 33,53,52
Ciudad 34,65,55
Ciudad 35,63,65
Ciudad 36,2,60
Ciudad 37,20,20
Ciudad 38,5,5
Ciudad 39,60,12
Ciudad 40,40,25
Ciudad 41,42,7
Ciudad 42,24,12
Ciudad 43,23,3
Ciudad 44,11,14
Ciudad 45,6,38
Ciudad 46,2,48
Ciudad 47,8,56
Ciudad 48,13,52
Ciudad 49,6,68
Ciudad 50,47,47
Ciudad 51,49,58
Ciudad 52,27,43
Ciudad 53,37,31
Ciudad 54,57,29
Ciudad 55,63,23
Ciudad 56,53,12
Ciudad 57,32,12
Ciudad 58,36,26
Ciudad 59,21,24
Ciudad 60,17,34
Ciudad 61,12,24
Ciudad 62,24,58
Ciudad 63,27,69
Ciudad 64,15,77
Ciudad 65,62,77
Ciudad 66,49,73
Ciudad 67,67,5
Ciudad 68,56,39
Ciudad 69,37,47
Ciudad 70,37,56
Ciudad 71,57,68
Ciudad 72,47,16
Ciudad 73,44,17
Ciudad 74,46,13
Ciudad 75,49,11
Ciudad 76,49,42
Ciudad 77,53,43
Ciudad 78,61,52
Ciudad 79,57,48
Ciudad 80,56,37
Ciudad 81,55,54
Ciudad 82,15,47
Ciudad 83,14,37
Ciudad 84,11,31
Ciudad 85,16,22
Ciudad 86,4,18
Ciudad 87,28,18
Ciudad 88,26,52
Ciudad 89,26,35
Ciudad 90,31,67
Ciudad 91,15,19
Ciudad 92,22,22
Ciudad 93,18,24
Ciudad 94,26,27
Ciudad 95,25,24
Ciudad 96,22,27
Ciudad 97,25,21
Ciudad 98,19,21
Ciudad 99,20,26
Ciudad 100,18,18
Ciudad 101,35,35
